Date,AQS_SITE_ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CSA_CODE,CSA_NAME,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
8/27/2013,29-077-0042,1,0.046,ppm,39,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/28/2013,29-077-0042,1,0.046,ppm,39,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/29/2013,29-077-0042,1,0.052,ppm,44,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/30/2013,29-077-0042,1,0.057,ppm,48,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/31/2013,29-077-0042,1,0.069,ppm,80,19,79,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/1/2013,29-077-0042,1,0.046,ppm,39,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/2/2013,29-077-0042,1,0.039,ppm,33,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/3/2013,29-077-0042,1,0.044,ppm,37,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/4/2013,29-077-0042,1,0.049,ppm,42,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/5/2013,29-077-0042,1,0.05,ppm,42,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/6/2013,29-077-0042,1,0.055,ppm,47,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/7/2013,29-077-0042,1,0.064,ppm,64,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/8/2013,29-077-0042,1,0.061,ppm,54,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/9/2013,29-077-0042,1,0.058,ppm,49,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/10/2013,29-077-0042,1,0.058,ppm,49,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/11/2013,29-077-0042,1,0.059,ppm,50,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/12/2013,29-077-0042,1,0.049,ppm,42,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/13/2013,29-077-0042,1,0.035,ppm,30,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/14/2013,29-077-0042,1,0.046,ppm,39,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/15/2013,29-077-0042,1,0.053,ppm,45,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/16/2013,29-077-0042,1,0.03,ppm,25,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/17/2013,29-077-0042,1,0.044,ppm,37,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/18/2013,29-077-0042,1,0.044,ppm,37,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/19/2013,29-077-0042,1,0.046,ppm,39,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/20/2013,29-077-0042,1,0.027,ppm,23,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/21/2013,29-077-0042,1,0.034,ppm,29,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/22/2013,29-077-0042,1,0.039,ppm,33,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
